,url,property_name,city,rent_updated,n_bed,n_bath,sq_ft_updated,walkscore,allow_pet,minimum_lease,onsite_parking,pool,fitness_center,elevator,kitchen_features,security_system,washer_dryer,internet,air_conditioning,furnished,rent_range,sq_ft_range
1384,https://www.apartments.com/serra-mesa-military-housing-oceanside-ca/0b9hq90/,Serra Mesa - Military Housing,Oceanside,1350.0,1,1.0,528.0,20.0,1,12,0,1,1,0,8,1,1,0,0,0,0,0
1385,https://www.apartments.com/serra-mesa-military-housing-oceanside-ca/0b9hq90/,Serra Mesa - Military Housing,Oceanside,1600.0,2,1.0,675.0,20.0,1,12,0,1,1,0,8,1,1,0,0,0,0,0
1387,https://www.apartments.com/lux-utc-san-diego-ca/2bdptcb/,LUX UTC,San Diego,2825.0,1,1.0,1147.0,85.0,1,12,0,1,0,1,0,0,0,0,1,0,0,0
1388,https://www.apartments.com/lux-utc-san-diego-ca/2bdptcb/,LUX UTC,San Diego,2875.0,1,1.0,1212.0,85.0,1,12,0,1,0,1,0,0,0,0,1,0,0,0
1389,https://www.apartments.com/lux-utc-san-diego-ca/2bdptcb/,LUX UTC,San Diego,2875.0,1,1.0,952.0,85.0,1,12,0,1,0,1,0,0,0,0,1,0,0,0
1392,https://www.apartments.com/lux-utc-san-diego-ca/2bdptcb/,LUX UTC,San Diego,3710.0,1,1.0,887.0,85.0,1,12,0,1,0,1,0,0,0,0,1,0,0,0
1399,https://www.apartments.com/lux-utc-san-diego-ca/2bdptcb/,LUX UTC,San Diego,5350.0,2,2.5,1745.0,85.0,1,12,0,1,0,1,0,0,0,0,1,0,0,0
1400,https://www.apartments.com/lux-utc-san-diego-ca/2bdptcb/,LUX UTC,San Diego,5540.0,2,2.5,2134.0,85.0,1,12,0,1,0,1,0,0,0,0,1,0,0,0
1401,https://www.apartments.com/lux-utc-san-diego-ca/2bdptcb/,LUX UTC,San Diego,5560.0,2,2.5,1927.0,85.0,1,12,0,1,0,1,0,0,0,0,1,0,0,0
1402,https://www.apartments.com/lux-utc-san-diego-ca/2bdptcb/,LUX UTC,San Diego,5585.0,2,2.5,2153.0,85.0,1,12,0,1,0,1,0,0,0,0,1,0,0,0
1406,https://www.apartments.com/lux-utc-san-diego-ca/2bdptcb/,LUX UTC,San Diego,6885.0,3,3.0,2782.0,85.0,1,12,0,1,0,1,0,0,0,0,1,0,0,0
1407,https://www.apartments.com/avalon-public-market-emeryville-ca/4jgcx0h/,Avalon Public Market,Emeryville,2260.0,0,1.0,587.0,85.0,1,12,0,1,1,0,1,1,1,0,1,0,0,0
