,url,property_name,city,rent_updated,n_bed,n_bath,sq_ft_updated,walkscore,allow_pet,minimum_lease,onsite_parking,pool,fitness_center,elevator,kitchen_features,security_system,washer_dryer,internet,air_conditioning,furnished
7582,https://www.apartments.com/457-coast-blvd-san-diego-ca-unit-303/8lqpwx1/,457 Coast Blvd Unit 303,San Diego,4700.0,2,2.0,927.0,79.0,0,12,1,0,0,0,6,0,1,0,0,1
7583,https://www.apartments.com/1039-coast-blvd-san-diego-ca-unit-f/c37z8xf/,1039 Coast Blvd Unit F,San Diego,8900.0,2,2.0,1390.0,90.0,0,12,1,0,0,1,6,0,1,0,1,1
7584,https://www.apartments.com/5410-la-jolla-blvd-san-diego-ca-unit-106/v4hvwxd/,5410 La Jolla Blvd Unit 106,San Diego,3650.0,2,2.0,1347.0,76.0,0,12,1,1,1,1,6,0,1,0,1,0
7585,https://www.apartments.com/909-coast-blvd-san-diego-ca-unit-2/pt3r1br/,909 Coast Blvd Unit 2,San Diego,6500.0,2,2.0,1215.0,95.0,0,12,1,1,0,1,7,0,1,0,0,1
7586,https://www.apartments.com/13056-caminito-mar-villa-del-mar-ca/3qeqg3e/,13056 Caminito Mar Villa,Del Mar,6000.0,2,3.0,1668.0,23.0,0,12,1,0,0,0,0,0,1,0,1,1
7587,https://www.apartments.com/3105-vista-rica-carlsbad-ca/h0xhk03/,3105 Vista Rica,Carlsbad,2850.0,2,2.0,1158.0,14.0,0,12,1,0,0,0,4,0,1,0,0,0
7588,https://www.apartments.com/1453-rexford-dr-los-angeles-ca/3dhmree/,1453 Rexford Dr,Los Angeles,3075.0,2,2.0,1400.0,89.0,1,12,1,0,0,0,4,0,1,0,1,0
7589,https://www.apartments.com/825-s-orange-grove-ave-los-angeles-ca/ejpml9p/,825 S Orange Grove Ave,Los Angeles,1850.0,1,1.0,780.0,83.0,1,12,1,0,0,0,4,0,0,0,1,0
7590,https://www.apartments.com/2028-s-bentley-los-angeles-ca/ghxz6cz/,2028 S Bentley,Los Angeles,3995.0,2,2.0,987.0,89.0,1,12,0,0,1,0,1,1,1,0,1,0
7591,https://www.apartments.com/527-washington-blvd-venice-ca/t7xw809/,527 Washington Blvd,Venice,3995.0,2,1.5,1150.0,75.0,1,12,1,0,0,0,4,0,1,0,0,0
7592,https://www.apartments.com/the-boardwalk-apartments-chico-ca/51m414m/,The Boardwalk Apartments,Chico,2400.0,3,3.0,1398.0,89.0,1,12,1,0,0,0,0,0,0,0,0,0
7593,https://www.apartments.com/noel-oaks-apartments-menlo-park-ca/xk528mm/,Noel Oaks Apartments,Menlo Park,3195.0,2,1.0,955.0,92.0,1,12,1,1,0,0,0,0,0,0,0,0
7594,https://www.apartments.com/noel-oaks-apartments-menlo-park-ca/xk528mm/,Noel Oaks Apartments,Menlo Park,3295.0,2,1.0,955.0,92.0,1,12,1,1,0,0,0,0,0,0,0,0
7595,https://www.apartments.com/park-square-at-seven-oaks-bakersfield-ca/53lm3km/,Park Square at Seven Oaks,Bakersfield,1410.5,1,1.0,758.0,27.0,0,12,1,1,1,0,6,1,0,1,0,0
7596,https://www.apartments.com/park-square-at-seven-oaks-bakersfield-ca/53lm3km/,Park Square at Seven Oaks,Bakersfield,1454.5,1,1.0,787.0,27.0,0,12,1,1,1,0,6,1,0,1,0,0
7597,https://www.apartments.com/park-square-at-seven-oaks-bakersfield-ca/53lm3km/,Park Square at Seven Oaks,Bakersfield,1622.0,2,2.0,1131.0,27.0,0,12,1,1,1,0,6,1,0,1,0,0
7598,https://www.apartments.com/park-square-at-seven-oaks-bakersfield-ca/53lm3km/,Park Square at Seven Oaks,Bakersfield,1684.5,2,2.0,1085.0,27.0,0,12,1,1,1,0,6,1,0,1,0,0
7599,https://www.apartments.com/907-scripps-ave-chula-vista-ca/1c6hsn5/,907 Scripps Ave,Chula Vista,3200.0,4,2.0,1508.0,26.0,0,12,1,0,0,0,1,0,1,0,1,0
7600,https://www.apartments.com/beau-on-bundy-los-angeles-ca/31m4hke/,Beau on Bundy,Los Angeles,2495.0,1,1.0,747.0,92.0,1,12,1,0,0,0,9,1,1,0,1,0
7601,https://www.apartments.com/beau-on-bundy-los-angeles-ca/31m4hke/,Beau on Bundy,Los Angeles,2995.0,2,2.0,940.0,92.0,1,12,1,0,0,0,9,1,1,0,1,0
7602,https://www.apartments.com/ollie-on-ogden-west-hollywood-ca/yqpznmr/,Ollie on Ogden,West Hollywood,2449.0,1,1.0,653.0,97.0,1,12,1,0,0,0,9,1,1,0,1,0
7603,https://www.apartments.com/ollie-on-ogden-west-hollywood-ca/yqpznmr/,Ollie on Ogden,West Hollywood,3299.0,2,1.0,841.0,97.0,1,12,1,0,0,0,9,1,1,0,1,0
7604,https://www.apartments.com/adagio-la-mesa-ca/8kdzqc3/,Adagio,La Mesa,2240.0,2,1.0,855.0,56.0,1,12,1,1,1,0,5,0,1,1,1,0
7605,https://www.apartments.com/adagio-la-mesa-ca/8kdzqc3/,Adagio,La Mesa,2465.0,2,2.0,878.0,56.0,1,12,1,1,1,0,5,0,1,1,1,0
7606,https://www.apartments.com/sunbow-villas-chula-vista-ca/px4zckt/,Sunbow Villas,Chula Vista,3377.5,2,2.0,1020.0,29.0,1,12,1,1,0,0,6,0,1,1,0,0
7607,https://www.apartments.com/summer-house-alameda-ca/d4xbevh/,Summer House,Alameda,2369.5,2,1.0,767.0,64.0,1,12,1,1,0,0,4,0,0,1,0,0
7608,https://www.apartments.com/summer-house-alameda-ca/d4xbevh/,Summer House,Alameda,2507.5,2,1.0,854.0,64.0,1,12,1,1,0,0,4,0,0,1,0,0
7609,https://www.apartments.com/summer-house-alameda-ca/d4xbevh/,Summer House,Alameda,2562.0,2,1.0,887.0,64.0,1,12,1,1,0,0,4,0,0,1,0,0
7610,https://www.apartments.com/summer-house-alameda-ca/d4xbevh/,Summer House,Alameda,3219.5,3,2.0,1000.0,64.0,1,12,1,1,0,0,4,0,0,1,0,0
7611,https://www.apartments.com/summer-house-alameda-ca/d4xbevh/,Summer House,Alameda,2866.0,3,2.0,1078.0,64.0,1,12,1,1,0,0,4,0,0,1,0,0
7612,https://www.apartments.com/summer-house-alameda-ca/d4xbevh/,Summer House,Alameda,2955.5,3,2.0,1100.0,64.0,1,12,1,1,0,0,4,0,0,1,0,0
7613,https://www.apartments.com/summer-house-alameda-ca/d4xbevh/,Summer House,Alameda,3801.5,4,2.0,1255.0,64.0,1,12,1,1,0,0,4,0,0,1,0,0
7614,https://www.apartments.com/esprit-apartments-marina-del-rey-ca/b5yc2fb/,Esprit Apartments,Marina Del Rey,3452.5,0,1.0,703.5,20.0,1,6,1,1,1,0,1,1,1,1,0,0
7615,https://www.apartments.com/esprit-apartments-marina-del-rey-ca/b5yc2fb/,Esprit Apartments,Marina Del Rey,5844.0,1,1.5,1185.0,20.0,1,6,1,1,1,0,1,1,1,1,0,0
7616,https://www.apartments.com/esprit-apartments-marina-del-rey-ca/b5yc2fb/,Esprit Apartments,Marina Del Rey,6065.5,1,1.5,1137.0,20.0,1,6,1,1,1,0,1,1,1,1,0,0
7617,https://www.apartments.com/esprit-apartments-marina-del-rey-ca/b5yc2fb/,Esprit Apartments,Marina Del Rey,5927.0,1,1.5,995.0,20.0,1,6,1,1,1,0,1,1,1,1,0,0
7618,https://www.apartments.com/esprit-apartments-marina-del-rey-ca/b5yc2fb/,Esprit Apartments,Marina Del Rey,6488.5,1,1.5,1061.0,20.0,1,6,1,1,1,0,1,1,1,1,0,0
7619,https://www.apartments.com/esprit-apartments-marina-del-rey-ca/b5yc2fb/,Esprit Apartments,Marina Del Rey,6193.5,1,1.5,1137.0,20.0,1,6,1,1,1,0,1,1,1,1,0,0
7620,https://www.apartments.com/esprit-apartments-marina-del-rey-ca/b5yc2fb/,Esprit Apartments,Marina Del Rey,5773.0,1,1.5,1078.0,20.0,1,6,1,1,1,0,1,1,1,1,0,0
7621,https://www.apartments.com/esprit-apartments-marina-del-rey-ca/b5yc2fb/,Esprit Apartments,Marina Del Rey,7152.0,2,2.5,1399.0,20.0,1,6,1,1,1,0,1,1,1,1,0,0
7622,https://www.apartments.com/esprit-apartments-marina-del-rey-ca/b5yc2fb/,Esprit Apartments,Marina Del Rey,7476.0,2,2.5,1222.0,20.0,1,6,1,1,1,0,1,1,1,1,0,0
7623,https://www.apartments.com/esprit-apartments-marina-del-rey-ca/b5yc2fb/,Esprit Apartments,Marina Del Rey,8931.5,2,2.5,1273.0,20.0,1,6,1,1,1,0,1,1,1,1,0,0
7624,https://www.apartments.com/esprit-apartments-marina-del-rey-ca/b5yc2fb/,Esprit Apartments,Marina Del Rey,8514.0,3,3.5,1815.0,20.0,1,6,1,1,1,0,1,1,1,1,0,0
7625,https://www.apartments.com/esprit-apartments-marina-del-rey-ca/b5yc2fb/,Esprit Apartments,Marina Del Rey,12315.5,3,3.5,1852.0,20.0,1,6,1,1,1,0,1,1,1,1,0,0
7626,https://www.apartments.com/the-springs-apartment-homes-bakersfield-ca/6t5nktr/,The Springs Apartment Homes,Bakersfield,2570.0,1,1.0,697.0,36.0,1,12,1,1,1,0,10,1,1,0,1,0
7627,https://www.apartments.com/the-springs-apartment-homes-bakersfield-ca/6t5nktr/,The Springs Apartment Homes,Bakersfield,1355.0,1,1.0,697.0,36.0,1,12,1,1,1,0,10,1,1,0,1,0
7628,https://www.apartments.com/the-springs-apartment-homes-bakersfield-ca/6t5nktr/,The Springs Apartment Homes,Bakersfield,1365.0,1,1.0,697.0,36.0,1,12,1,1,1,0,10,1,1,0,1,0
7629,https://www.apartments.com/the-springs-apartment-homes-bakersfield-ca/6t5nktr/,The Springs Apartment Homes,Bakersfield,1365.0,1,1.0,697.0,36.0,1,12,1,1,1,0,10,1,1,0,1,0
7630,https://www.apartments.com/the-springs-apartment-homes-bakersfield-ca/6t5nktr/,The Springs Apartment Homes,Bakersfield,1345.0,1,1.0,697.0,36.0,1,12,1,1,1,0,10,1,1,0,1,0
7631,https://www.apartments.com/the-springs-apartment-homes-bakersfield-ca/6t5nktr/,The Springs Apartment Homes,Bakersfield,1350.0,1,1.0,697.0,36.0,1,12,1,1,1,0,10,1,1,0,1,0
7632,https://www.apartments.com/the-springs-apartment-homes-bakersfield-ca/6t5nktr/,The Springs Apartment Homes,Bakersfield,1415.0,1,1.0,697.0,36.0,1,12,1,1,1,0,10,1,1,0,1,0
7633,https://www.apartments.com/the-springs-apartment-homes-bakersfield-ca/6t5nktr/,The Springs Apartment Homes,Bakersfield,1345.0,1,1.0,697.0,36.0,1,12,1,1,1,0,10,1,1,0,1,0
7634,https://www.apartments.com/the-springs-apartment-homes-bakersfield-ca/6t5nktr/,The Springs Apartment Homes,Bakersfield,1225.0,1,1.0,697.0,36.0,1,12,1,1,1,0,10,1,1,0,1,0
7635,https://www.apartments.com/the-springs-apartment-homes-bakersfield-ca/6t5nktr/,The Springs Apartment Homes,Bakersfield,1625.0,2,2.0,957.0,36.0,1,12,1,1,1,0,10,1,1,0,1,0
7636,https://www.apartments.com/the-springs-apartment-homes-bakersfield-ca/6t5nktr/,The Springs Apartment Homes,Bakersfield,1395.0,2,2.0,957.0,36.0,1,12,1,1,1,0,10,1,1,0,1,0
